Date,Open,High,Low,Volume,Close
2006-02-20,46500,47350,46100,991880,46950
2006-02-21,46200,46400,45550,875509,46000
2006-02-22,45250,46000,44700,1110891,45100
2006-02-23,44350,45450,44350,972552,44850
2006-02-24,44950,45050,44000,639827,44800
2006-02-27,44450,44900,43800,756680,44200
2006-02-28,44450,44900,43750,554396,43850
2006-03-02,44000,46500,44000,1584034,45800
2006-03-03,46100,46100,44800,1155612,45400
2006-03-06,44700,46250,44350,804686,45800
2006-03-07,44550,45500,44500,1185785,45000
2006-03-08,43000,43950,43000,1691925,43950
2006-03-09,43750,44400,43200,976880,44000
2006-03-10,43450,43700,43000,1273375,43650
2006-03-13,43300,43900,43300,531633,43900
2006-03-14,43450,43500,42250,749770,42800
2006-03-15,42500,43050,42300,496629,42800
2006-03-16,42800,43050,42300,402019,42650
2006-03-17,42200,43050,41900,539371,42800
2006-03-20,42450,42900,42250,417290,42300
2006-03-21,42300,43200,42050,580620,42500
2006-03-22,42850,43500,42350,937621,42450
2006-03-23,43000,43600,42500,729401,43250
2006-03-24,43250,44000,43250,515488,44000
2006-03-27,43800,44500,43800,315574,44000
2006-03-28,44400,44850,44150,453832,44600
2006-03-29,44400,44400,43550,336165,44400
2006-03-30,44000,44300,43300,645127,43400
2006-03-31,43700,44050,43250,829126,43800
2006-04-03,43800,44550,43750,502850,44100
2006-04-04,44250,44500,43400,800728,43600
2006-04-05,44250,44500,43400,880861,43650
2006-04-06,44800,44800,43400,1061851,43500
2006-04-07,43300,43300,42000,1586691,42200
2006-04-10,41950,42000,40850,1509462,42000
2006-04-11,41550,41650,40900,1521636,41000
2006-04-12,40150,40950,40050,1164206,40800
2006-04-13,40650,41750,40650,991546,41200
2006-04-14,40950,42150,40950,1117367,42000
2006-04-17,41700,41900,40900,938062,41200
2006-04-18,41050,41050,40450,1024593,40700
2006-04-19,41200,42000,41200,1036492,41500
2006-04-20,41300,41850,40800,698291,41800
2006-04-21,42000,43250,41950,1231643,42200
