#Date,Open,High,Low,Volume,Close
2014-08-26,70300,71500,69900,233764,70900
2014-08-27,71700,74100,71500,421942,72400
2014-08-28,72500,74000,71600,206667,72200
2014-08-29,71600,72900,70900,239581,70900
2014-09-01,70300,72900,70300,156896,72400
2014-09-02,72500,73800,71000,220255,71800
2014-09-03,71000,72000,70500,182153,71500
2014-09-04,71100,71500,69600,180762,70300
2014-09-05,69900,71800,69900,252247,70400
2014-09-11,70400,72300,70200,325763,70200
2014-09-12,70800,72200,70400,370686,70900
2014-09-15,71800,72500,70300,226553,71000
2014-09-16,70700,72300,70700,234438,72000
2014-09-17,72700,72900,72200,171033,72700
2014-09-18,71700,73400,71700,184440,72200
2014-09-19,71800,72900,71100,260668,71600
2014-09-22,71400,74000,70900,310223,73400
2014-09-23,73700,76600,73500,476886,75800
2014-09-24,75800,76700,74900,320021,75800
2014-09-25,76000,76400,75000,241807,75700
2014-09-26,76400,77300,75700,322576,76600
2014-09-29,76500,77700,76500,251779,76800
2014-09-30,77000,77600,76000,280593,76800
2014-10-01,75200,75700,73100,409791,74000
2014-10-02,74000,74500,73200,266697,73500
2014-10-06,73500,74300,71800,179304,71800
2014-10-07,72200,74000,72100,206651,73600
2014-10-08,72400,74200,72400,246801,74000
2014-10-10,74000,75000,73000,146115,73600
2014-10-13,73600,75600,71800,167857,72300
2014-10-14,74700,74700,71100,143256,71500
2014-10-15,72000,74600,71200,213048,72700
2014-10-16,71600,72800,68500,269806,68500
2014-10-17,69600,70500,68700,304680,69400
2014-10-20,69400,70100,68800,264159,69700
2014-10-21,69200,69300,65800,402775,67200
2014-10-22,68000,68200,66100,332285,66600
2014-10-23,66300,68400,66100,253312,66900
2014-10-24,67100,68000,65600,168883,66200
2014-10-27,66900,66900,64200,334690,64900
2014-10-28,64600,65000,62500,360580,64100
2014-10-29,63900,67900,63900,358204,66600
2014-10-30,66900,66900,63900,243639,64900
2014-10-31,64900,64900,62700,404764,63600
2014-11-03,63200,64500,62100,260124,62800
2014-11-04,63000,64900,60900,346789,62400
2014-11-05,63100,63500,62100,232858,62800
2014-11-06,62400,64200,62400,270198,63800
2014-11-07,63200,65400,63200,346684,63700
2014-11-10,64200,64500,63200,248238,64300
2014-11-11,64700,64700,63600,177395,64000
2014-11-12,63600,66000,63500,343155,64900
2014-11-13,64400,66000,64200,189117,66000
2014-11-14,65500,66600,63200,309105,63900
2014-11-17,63900,64100,62500,198353,63200
2014-11-18,63200,63900,62600,228648,63500
2014-11-19,63700,64300,63100,187596,63700
2014-11-20,63400,64600,62900,156609,64000
2014-11-21,64100,67300,63800,265294,67200
2014-11-24,67300,69700,66200,436191,67600
2014-11-25,67800,68300,67100,222597,67700
2014-11-26,68300,69100,66300,154491,66800
2014-11-27,66400,66400,64300,398149,65000
2014-11-28,64400,65300,63000,256845,65100
2014-12-01,64000,66200,64000,301612,65200
2014-12-02,64800,66300,64800,201562,65300
2014-12-03,65300,66700,65200,236939,66000
2014-12-04,66000,66900,65400,244781,66000
2014-12-05,66000,66300,64400,212943,66100
2014-12-08,65200,65900,65100,153480,65500
2014-12-09,65100,65600,64700,212940,65100
2014-12-10,64500,65300,64300,199294,64800
2014-12-11,64200,65300,63100,340236,63500
2014-12-12,64600,64900,61800,288305,62300
2014-12-15,61700,63800,60800,154904,63500
2014-12-16,63000,63500,62300,213966,63100
2014-12-17,63700,64000,61600,370827,62100
2014-12-18,63200,63400,60900,203615,62300
2014-12-19,62900,64200,62700,264013,62700
2014-12-22,64200,65000,63600,221783,64800
2014-12-23,64200,64500,63200,191875,63500
2014-12-24,63700,64400,63200,97936,64200
2014-12-26,64200,64900,63500,176073,64300
2014-12-29,64100,64100,62900,100834,62900
2014-12-30,63700,63700,60700,305009,61200
2015-01-02,61200,62200,60000,183722,61900
2015-01-05,60600,62600,60400,234217,62400
2015-01-06,62000,62200,61000,233509,61500
2015-01-07,61600,61800,60400,139023,60400
2015-01-08,60400,62300,60200,253587,60700
2015-01-09,61500,63200,61100,306848,62200
2015-01-12,61500,63700,61500,158461,62500
2015-01-13,63100,64300,62200,301229,63400
2015-01-14,63200,64000,62600,149474,62600
2015-01-15,62600,63200,61500,147275,61800
2015-01-16,61300,62400,60800,184773,61900
2015-01-19,62200,62800,60900,132583,61200
2015-01-20,61000,62000,61000,83669,61400
2015-01-21,61200,62100,61100,129879,62000
2015-01-22,62100,62800,61700,108806,62500
2015-01-23,63100,63700,62300,146379,63200
2015-01-26,63300,63300,60300,434090,60400
2015-01-27,60700,61900,60000,328392,61900
2015-01-28,61300,63200,61000,390418,62800
2015-01-29,62800,63400,62100,227927,62800
2015-01-30,62900,63400,61400,372675,61900
2015-02-02,61200,63300,61200,256018,62800
2015-02-03,62500,62700,61100,369854,61600
2015-02-04,61700,64200,61500,301185,63800
2015-02-05,63800,64500,62700,213249,63200
2015-02-06,62600,63700,62600,239580,63200
2015-02-09,62800,64100,62800,173376,63300
2015-02-10,63800,63800,62400,170747,63100
2015-02-11,63200,63500,62100,168368,62500
2015-02-12,62400,63200,61800,189186,62500
2015-02-13,62500,63200,62400,146645,62800
2015-02-16,62400,63800,62400,109523,63200
2015-02-17,63000,64700,62700,137795,64600
2015-02-23,64600,65000,63000,478342,63100
2015-02-24,63000,64500,62900,433947,64100
2015-02-25,64000,65000,63700,364833,64700
2015-02-26,64600,64900,63600,139205,64100
2015-02-27,63700,64200,63100,196077,63600
2015-03-02,63900,64100,63100,198055,63300
2015-03-03,63100,63800,61700,368888,62500
2015-03-04,62200,62600,61900,232261,62100
2015-03-05,61600,62500,61100,236023,62400
2015-03-06,62200,62400,61000,290070,61000
2015-03-09,60900,61100,59800,256124,60000
2015-03-10,60200,60600,60100,284636,60200
2015-03-11,59800,60000,58800,340465,59100
2015-03-12,58800,60700,58600,395137,59300
2015-03-13,60100,60200,59300,162117,59600
2015-03-16,59500,59900,59000,165166,59700
2015-03-17,59700,60600,59700,177860,60600
2015-03-18,61100,61400,60200,344186,61400
2015-03-19,61900,61900,60800,300750,61300
2015-03-20,61300,61300,59900,426427,60300
2015-03-23,60500,60900,59400,367766,60400
2015-03-24,59700,60300,59300,355379,59700
2015-03-25,59600,60300,59200,306133,60000
2015-03-26,60000,61500,59700,361002,61400
2015-03-27,61300,61600,60500,355900,60700
2015-03-30,60500,61500,60400,472056,60900
2015-03-31,60900,61900,60800,610585,61300
2015-04-01,61300,61600,59300,682423,59400
2015-04-02,59500,61200,59500,613095,60500
2015-04-03,61100,61700,60600,401763,61700
2015-04-06,61400,61700,59600,286770,59900
2015-04-07,60100,60700,59600,159167,59900
2015-04-08,59700,60600,59700,174313,60500
2015-04-09,60300,60900,59900,211949,60500
2015-04-10,60300,61500,60200,306385,61500
2015-04-13,61200,61500,60300,386269,60600
2015-04-14,60300,63400,60300,607672,63400
2015-04-15,62800,64200,62400,456646,63900
