Date,Open,High,Low,Volume,Close
2014-08-29,163500,165500,162000,132580,163500
2014-09-01,164000,167000,164000,112383,166000
2014-09-02,166500,167500,163500,122896,165000
2014-09-03,166000,167500,164000,151210,165500
2014-09-04,167000,167000,163500,94230,164000
2014-09-05,163000,164500,161500,99678,164500
2014-09-11,164500,170500,163500,230084,168000
2014-09-12,169500,173000,169000,230282,170500
2014-09-15,171000,172000,170000,92833,170500
2014-09-16,170500,171000,168000,71281,169000
2014-09-17,171000,175500,171000,228910,175000
2014-09-18,175000,176500,172000,87860,173500
2014-09-19,174000,176000,171500,95012,173500
2014-09-22,173500,173500,164500,262995,166500
2014-09-23,164500,166000,159000,296598,161000
2014-09-24,160500,160500,158000,152638,160000
2014-09-25,161500,161500,158000,123164,159000
2014-09-26,156500,159000,153000,219555,154500
2014-09-29,153500,154500,144000,400614,145000
2014-09-30,145000,146000,140500,360723,140500
2014-10-01,141500,142500,137000,303342,137000
2014-10-02,136000,141000,135500,241337,140000
2014-10-06,140000,142500,140000,127656,140500
2014-10-07,139500,143000,139000,156462,139500
2014-10-08,138000,142000,136500,128698,140000
2014-10-10,140000,140000,135500,136780,137500
2014-10-13,134500,136500,129500,203246,135500
2014-10-14,135000,142000,133500,231756,137500
2014-10-15,138500,140500,134500,182722,136500
2014-10-16,134000,136500,133000,161697,136000
2014-10-17,138000,142000,137000,240480,138500
2014-10-20,142000,143500,141000,139763,142000
2014-10-21,141000,141000,131500,305983,135000
2014-10-22,137500,140000,135000,148723,135500
2014-10-23,134500,135500,121500,393652,123000
2014-10-24,124000,128500,120500,428937,126500
2014-10-27,134000,140500,133000,502628,135500
2014-10-28,135500,141000,133500,250981,137000
2014-10-29,139500,152500,138000,450736,148000
2014-10-30,147000,149000,142500,170322,146000
2014-10-31,148000,148000,142000,157993,145000
2014-11-03,146000,146500,139000,169823,141500
2014-11-04,141500,144000,134500,190315,138500
2014-11-05,138000,140000,135000,176379,135000
2014-11-06,136000,148500,135500,414451,146500
2014-11-07,146000,155000,145500,286732,151000
2014-11-10,152000,161000,152000,373351,157500
2014-11-11,157500,161000,155000,208938,159000
2014-11-12,158500,168000,156500,311468,166500
2014-11-13,167000,168500,160500,194496,163000
2014-11-14,162500,165000,157000,156970,164000
2014-11-17,162000,171000,162000,201001,168000
2014-11-18,167000,173500,165000,244423,169500
2014-11-19,170000,170500,164000,172043,166500
2014-11-20,167500,172000,165500,174625,169000
2014-11-21,170500,178000,170500,302247,175500
2014-11-24,184500,190000,182500,522321,185500
2014-11-25,186500,187500,180500,239077,181000
2014-11-26,180000,185000,176000,180404,181000
2014-11-27,180500,181500,171000,293436,175500
2014-11-28,170000,177000,166000,245063,176000
2014-12-01,173000,174000,163000,452165,165500
2014-12-02,168500,172000,166000,253904,167000
2014-12-03,168500,173000,167500,111836,172500
2014-12-04,174500,177500,173500,139246,174000
2014-12-05,173000,176500,171000,83728,172000
2014-12-08,175000,181500,175000,221177,180500
2014-12-09,178500,180500,175500,140896,179500
2014-12-10,175000,177000,157500,733507,159500
2014-12-11,155000,161000,153000,450353,157500
2014-12-12,159000,160500,155000,242601,156500
2014-12-15,151000,159500,150500,175549,158500
2014-12-16,157000,163500,156000,197274,158500
2014-12-17,160500,164000,159500,172688,162500
2014-12-18,167500,169500,163500,188522,166000
2014-12-19,169000,169500,162500,122249,167500
2014-12-22,168500,175000,166500,155543,172000
2014-12-23,171000,173000,166500,137861,170500
2014-12-24,170000,171500,167500,85887,170500
2014-12-26,170500,170500,163000,177018,164000
2014-12-29,163500,165500,159000,114954,162000
2014-12-30,162000,164000,159500,108002,160000
2015-01-02,160000,162000,158000,101444,161000
2015-01-05,160500,160500,154500,187535,155500
2015-01-06,150000,151000,141500,483546,146000
2015-01-07,144000,149500,143500,278830,147500
2015-01-08,150000,151000,143500,298017,145000
2015-01-09,147500,150000,145000,304688,148500
2015-01-12,148000,151000,145500,206972,148000
2015-01-13,146500,147000,143000,193373,144000
2015-01-14,143000,146500,141000,242214,144000
2015-01-15,146000,149000,144500,191296,148000
2015-01-16,146000,146500,140500,251821,142000
2015-01-19,145500,151000,145000,312069,150500
2015-01-20,151500,152500,148500,149567,149500
2015-01-21,147500,151500,147500,121196,151500
2015-01-22,153000,158000,152000,294999,157500
2015-01-23,161000,167000,157000,427129,160000
2015-01-26,158000,161500,155500,161860,159000
2015-01-27,161000,174000,159000,497167,172000
2015-01-28,172000,174000,170500,223264,174000
2015-01-29,170000,171500,167000,167243,171000
2015-01-30,174000,175500,171000,172222,174500
2015-02-02,179500,180500,174000,199615,174000
2015-02-03,177000,179000,174500,215065,178000
2015-02-04,183000,183000,176000,296754,179500
2015-02-05,176500,177000,172500,150233,173500
2015-02-06,175500,178500,172500,143474,178000
2015-02-09,178500,184000,178500,278863,182000
2015-02-10,181500,186500,180000,190017,182000
2015-02-11,183000,183500,176500,127712,177000
2015-02-12,174500,175500,171000,150226,175000
2015-02-13,178000,179500,175000,70332,177000
2015-02-16,178000,180500,169500,183637,172500
2015-02-17,172000,178000,170500,97431,175500
2015-02-23,175500,178500,174000,89407,174500
2015-02-24,175500,179500,174000,95897,175500
2015-02-25,177000,185500,177000,318935,184000
2015-02-26,187500,194500,185500,462075,193500
2015-02-27,191500,197000,190500,242330,190500
2015-03-02,196500,199000,194000,208287,194500
2015-03-03,193500,194500,189000,139333,193500
2015-03-04,194500,194500,187000,108444,187500
2015-03-05,187000,192500,186000,135471,187500
2015-03-06,188500,193500,188500,150587,192000
2015-03-09,189000,197500,189000,111996,192500
2015-03-10,195500,200000,195000,243999,197500
2015-03-11,195000,199500,193500,138751,197500
2015-03-12,198000,204500,197000,325386,204500
2015-03-13,206000,207500,200500,234478,202500
2015-03-16,199000,200500,189000,303230,192000
2015-03-17,192000,198000,191000,238447,196500
2015-03-18,195500,196500,186500,280773,190500
2015-03-19,195500,199000,192500,267384,196000
2015-03-20,193000,198500,192000,111617,197500
2015-03-23,201500,206000,196000,172130,196000
2015-03-24,197500,200500,196000,93150,197000
2015-03-25,200000,201000,195500,132257,195500
2015-03-26,196500,207500,196500,286517,205000
2015-03-27,209000,213000,202500,160699,202500
2015-03-30,204000,209000,200000,100401,207500
2015-03-31,209500,213000,203500,126387,203500
2015-04-01,205000,208500,201000,121282,207500
2015-04-02,215000,219000,212500,333285,216000
2015-04-03,216500,220000,216000,144174,219500
2015-04-06,220000,222000,214500,148901,218500
2015-04-07,222000,225000,216000,137650,218000
2015-04-08,222000,230000,221500,320251,230000
2015-04-09,229500,238500,227500,284098,233500
2015-04-10,235000,238500,231500,127611,235000
2015-04-13,236500,244000,236000,170954,242000
2015-04-14,242000,242500,234500,161736,241000
2015-04-15,244000,248500,241000,162327,247500
2015-04-16,250000,252500,232500,291600,236000
2015-04-17,236000,241000,227500,248140,237000
